TIPO UNIDADE,MUNICÍPIO,ESCOLA/SETOR/UNIDADE,TIPO VÍNCULO,CARGO,DISCIPLINA,ÁREA ADMINISTRATIVA,FUNÇÃO
03ª DIREC - NOVA CRUZ,SANTO ANTONIO,EE ALEXANDRE CELSO GARCIA,VÍNCULO TEMPORÁRIO,PROFESSOR TEMPORARIO,Professor de Educação Especial,,SALA DE AULA
03ª DIREC - NOVA CRUZ,SANTO ANTONIO,EE ALEXANDRE CELSO GARCIA,VÍNCULO TERCEIRIZADO,TERCEIRIZADO - MERENDEIRA,,APOIO ADMINISTRATIVO,MERENDEIRA
03ª DIREC - NOVA CRUZ,SANTO ANTONIO,EE ALEXANDRE CELSO GARCIA,VÍNCULO SERVIDOR,PROF PERM NIVEL - III,,EQUIPE GESTORA,COORDENADOR ADM. FINANCEIRO
"03ª DIREC - NOVA CRUZ, 04ª DIREC - SÃO PAULO DO POTENGI","SAO JOSE DO CAMPESTRE, SENADOR ELOI DE SOUZA","EE BELMIRA LARA, ESCOLA ESTADUAL DESEMBARGADOR VICENTE LEMOS",VÍNCULO TEMPORÁRIO,PROFESSOR TEMPORARIO,"Vôlei de Duplas, Educação Física, Futsal, Arte",,SALA DE AULA
03ª DIREC - NOVA CRUZ,SAO JOSE DO CAMPESTRE,EE BELMIRA LARA,VÍNCULO TEMPORÁRIO,PROFESSOR TEMPORARIO,Professor de Educação Especial,,SALA DE AULA
03ª DIREC - NOVA CRUZ,SAO JOSE DO CAMPESTRE,EE BELMIRA LARA,VÍNCULO TERCEIRIZADO,TERCEIRIZADO - MERENDEIRA,,APOIO ADMINISTRATIVO,MERENDEIRA
03ª DIREC - NOVA CRUZ,SAO JOSE DO CAMPESTRE,EE BELMIRA LARA,VÍNCULO SERVIDOR,PROF PERM NIVEL - IV,"Geografia, História",,SALA DE AULA
03ª DIREC - NOVA CRUZ,"SAO JOSE DO CAMPESTRE, PASSA E FICA","EE BELMIRA LARA, ESCOLA ESTADUAL DEPUTADO DJALMA ARANHA MARINHO",VÍNCULO TEMPORÁRIO,PROFESSOR TEMPORARIO,"Geografia, História, Língua Portuguesa, Ciências, Matemática, Professor de Educação Especial",,SALA DE AULA
03ª DIREC - NOVA CRUZ,SAO JOSE DO CAMPESTRE,EE BELMIRA LARA,VÍNCULO TEMPORÁRIO,PROFESSOR TEMPORARIO,"Geografia, História, Ciências, Matemática, Língua Portuguesa",,SALA DE AULA
03ª DIREC - NOVA CRUZ,SAO JOSE DO CAMPESTRE,EE BELMIRA LARA,VÍNCULO SERVIDOR,AUXILIAR DE INFRAESTRUTURA (GNO II - LCE 698/2022),,APOIO ADMINISTRATIVO,ASSISTENTE ADMINISTRATIVO
03ª DIREC - NOVA CRUZ,SAO JOSE DO CAMPESTRE,EE BELMIRA LARA,VÍNCULO SERVIDOR,AUXILIAR DE INFRAESTRUTURA (GNO II - LCE 698/2022),,APOIO ADMINISTRATIVO,ASSISTENTE ADMINISTRATIVO
